query_pocket,query_protein,target_pocket,target_protein,pocket_similarity_cosine,sequence_identity,fold_query,fold_target,evolutionary_type
PKT_P07267_46474,P07267,PKT_O75153_101315,O75153,0.978,0.1436,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P32610_323624,P32610,PKT_Q76M96_21736,Q76M96,0.978,0.1502,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P40345_126901,P40345,PKT_Q3ZCN5_306292,Q3ZCN5,0.978,0.19,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P04147_176297,P04147,PKT_Q05016_123299,Q05016,0.978,0.1412,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P32790_25801,P32790,PKT_P14724_98068,P14724,0.978,0.1697,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q99278_216740,Q99278,PKT_P53163_174645,P53163,0.978,0.1753,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P32340_122706,P32340,PKT_P53734_202921,P53734,0.978,0.1573,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P35206_211270,P35206,PKT_P47083_44321,P47083,0.978,0.1646,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P47083_45975,P47083,PKT_P53146_269858,P53146,0.978,0.1393,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P47822_55716,P47822,PKT_P07260_43757,P07260,0.978,0.1216,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q03048_173862,Q03048,PKT_Q9UKD1_331011,Q9UKD1,0.978,0.1344,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q03790_201193,Q03790,PKT_P14680_357373,P14680,0.978,0.1379,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P16892_114993,P16892,PKT_Q8IZS5_60943,Q8IZS5,0.978,0.1574,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P19097_275859,P19097,PKT_Q76M96_21736,Q76M96,0.978,0.1295,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P33748_59762,P33748,PKT_Q8TBZ0_107675,Q8TBZ0,0.978,0.1381,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P38817_191405,P38817,PKT_P34218_201647,P34218,0.978,0.1264,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P47122_348509,P47122,PKT_Q9BXA6_47673,Q9BXA6,0.978,0.1405,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9BXA6_47673,Q9BXA6,PKT_P47122_348509,P47122,0.978,0.19,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
